Price,Adj Close,Close,High,Low,Open,Volume
Ticker,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX
Datetime,,,,,,
2025-11-03 14:30:00+00:00,1099.6817626953125,1099.6817626953125,1133.5,1098.949951171875,1133.0999755859375,989317
2025-11-03 15:30:00+00:00,1080.43994140625,1080.43994140625,1103.48095703125,1079.3199462890625,1099.532470703125,785387
2025-11-03 16:30:00+00:00,1089.8499755859375,1089.8499755859375,1089.989990234375,1075.1500244140625,1079.9599609375,595383
2025-11-03 17:30:00+00:00,1093.52001953125,1093.52001953125,1094.6700439453125,1088.6800537109375,1089.7049560546875,310840
2025-11-03 18:30:00+00:00,1095.800048828125,1095.800048828125,1096.8399658203125,1092.508056640625,1093.8099365234375,261430
2025-11-03 19:30:00+00:00,1099.25,1099.25,1099.699951171875,1092.6600341796875,1095.52001953125,238988
2025-11-03 20:30:00+00:00,1099.5699462890625,1099.5699462890625,1100.300048828125,1096.074951171875,1099.239990234375,281103
2025-11-04 14:30:00+00:00,1098.31396484375,1098.31396484375,1104.599853515625,1089.219970703125,1099.2850341796875,626099
2025-11-04 15:30:00+00:00,1092.5550537109375,1092.5550537109375,1103.5,1091.699951171875,1098.2099609375,300006
2025-11-04 16:30:00+00:00,1095.0699462890625,1095.0699462890625,1096.719970703125,1091.1099853515625,1092.3599853515625,226854
2025-11-04 17:30:00+00:00,1092.719970703125,1092.719970703125,1095.7740478515625,1090.762451171875,1095.010009765625,172470
2025-11-04 18:30:00+00:00,1090.7249755859375,1090.7249755859375,1095.31005859375,1088.469970703125,1092.5400390625,257143
2025-11-04 19:30:00+00:00,1088.31005859375,1088.31005859375,1091.699951171875,1086.6800537109375,1090.9100341796875,290816
2025-11-04 20:30:00+00:00,1093.1500244140625,1093.1500244140625,1093.1600341796875,1087.3800048828125,1088.31005859375,272686
2025-11-05 14:30:00+00:00,1086.5450439453125,1086.5450439453125,1088.3599853515625,1073.3701171875,1084.93994140625,638609
2025-11-05 15:30:00+00:00,1089.074951171875,1089.074951171875,1090.199951171875,1084.104248046875,1086.3900146484375,223480
2025-11-05 16:30:00+00:00,1097.364990234375,1097.364990234375,1100.8199462890625,1085.0999755859375,1089.1199951171875,402528
2025-11-05 17:30:00+00:00,1092.6600341796875,1092.6600341796875,1099.6099853515625,1089.6500244140625,1097.364990234375,215834
2025-11-05 18:30:00+00:00,1093.2015380859375,1093.2015380859375,1096.1800537109375,1092.0999755859375,1092.5,151367
2025-11-05 19:30:00+00:00,1093.9595947265625,1093.9595947265625,1095.4698486328125,1091.3189697265625,1093.155029296875,165530
2025-11-05 20:30:00+00:00,1098.4599609375,1098.4599609375,1099.5,1093.5,1093.8299560546875,286006
2025-11-06 14:30:00+00:00,1093.06396484375,1093.06396484375,1099.0050048828125,1085.75,1095.1400146484375,499328
2025-11-06 15:30:00+00:00,1100.8299560546875,1100.8299560546875,1103.2099609375,1092.4300537109375,1093.39501953125,370479
2025-11-06 16:30:00+00:00,1102.1800537109375,1102.1800537109375,1103.699951171875,1097.1500244140625,1100.8399658203125,266958
2025-11-06 17:30:00+00:00,1094.0999755859375,1094.0999755859375,1103.0699462890625,1091.7349853515625,1102.0799560546875,186616
2025-11-06 18:30:00+00:00,1090.2950439453125,1090.2950439453125,1094.530029296875,1085.1300048828125,1094.1700439453125,290539
2025-11-06 19:30:00+00:00,1093.0799560546875,1093.0799560546875,1094.4512939453125,1087.9100341796875,1090.5155029296875,178280
2025-11-06 20:30:00+00:00,1097.3900146484375,1097.3900146484375,1098.5899658203125,1092.0001220703125,1093.280029296875,420333
2025-11-07 14:30:00+00:00,1101.5699462890625,1101.5699462890625,1108.219970703125,1087.800048828125,1094.175048828125,811270
2025-11-07 15:30:00+00:00,1093.6099853515625,1093.6099853515625,1103.8900146484375,1092.237548828125,1101.5899658203125,695768
